Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	caprolactam	Nonanoic acid	indole	a-copaene	petasitene	trans-a-bergamotene	b-caryophyllene	trans-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(E)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	cis-a-bergamotene	(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	(2E)-2,7-dimethylocta-2,6-dien-1-ol	benzaldehyde	D-limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	4,7-Methano-1H-indene, 2,4,5,6,7,7a-hexahydro-	cosmene	(4E,6Z)-alloocimene	Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	3-Furaldehyde
NEXP2Leaf_920bT27_9202022_27.qgd	7320	0	43777	0	99938	2590	6047	2845	0	0	1238	0	306356	28448	123435	2047	874	0	0	0	11590	0	0	0	0	0	0	0	938	2892	0	67351	118792	118071	6674	3432	887	0	0	238	0	47111
NEXP2Leaf_920bT28_9202022_28.qgd	48327	0	4160	0	260	0	0	4350	0	0	2053	0	25402	54054	429929	2134	0	0	0	0	0	0	0	3375	59361	72602	0	472	0	0	0	0	80742	3850	1150	48161	0	524	0	0	1025	0
NEXP2Leaf_920bT29_9202022_29.qgd	13808	0	31960	12969	47161	0	3605	3442	0	3533	1206	6527	161771	121306	102381	2124	0	0	494	0	0	0	0	0	21905	0	0	0	915	0	2084	17346	103509	51185	5667	21722	0	0	0	0	0	15365
NEXP2Leaf_920bT30_9202022_30.qgd	0	0	1155	0	1497	0	0	360	0	0	205	0	25513	195838	81527	674	0	0	0	0	1849	0	0	0	0	0	0	0	0	0	0	0	39132	1428	479	391	0	0	0	0	0	0
NEXP2Leaf_921aT1_9212022_01.qgd	686	0	2150	0	1313	0	0	809	0	0	564	0	14177	25214	39493	1355	0	0	0	0	0	0	0	0	0	2173	0	0	0	0	489	0	33590	1631	430	409	0	0	0	122	0	5468
NEXP2Leaf_921aT2_9212022_02.qgd	2946	0	18747	8255	21122	702	1633	3638	0	0	1108	0	63716	26569	68099	2419	145	749	0	0	5206	0	0	6791	1591	5347	0	0	0	1109	0	12662	39792	23671	1967	1107	225	0	0	70	0	11176
NEXP2Leaf_921aT3_9212022_03.qgd	35694	0	1117	0	1770	0	0	2712	0	0	1941	0	45064	130884	64340	2993	0	0	0	0	10210	0	0	0	26668	27892	0	0	0	0	0	0	53031	2319	2024	27616	0	0	0	0	0	7837
NEXP2Leaf_921aT4_9212022_04.qgd	4167	0	2619	0	1689	0	89	2022	0	0	992	0	10470	39158	38641	2567	0	0	0	0	0	0	0	0	6992	3806	0	3182	0	0	430	0	30776	2077	956	4954	0	0	0	0	0	3209
NEXP2Leaf_921aT5_9212022_05.qgd	0	0	2326	0	1944	0	0	3632	0	0	1497	143	27944	112456	56174	1516	0	338	243	0	3113	0	0	1598	0	0	0	0	0	176	0	0	54647	2548	2797	1081	0	0	0	87	0	7250
NEXP2Leaf_921aT6_9212022_06.qgd	2227	0	687	0	844	0	0	592	0	0	290	0	11726	24843	8831	551	0	0	0	0	2050	0	0	0	3148	2447	0	245	0	0	0	0	32255	692	519	2279	0	0	150	0	0	2463
NEXP2Leaf_921aT7_9212022_07.qgd	0	0	23471	9077	21430	787	2399	1103	0	0	471	0	78113	240785	28551	1116	492	0	0	0	7551	0	0	3635	0	0	0	0	1478	4703	0	12704	37277	20874	3575	0	0	0	0	0	0	6729
NEXP2Leaf_921aT8_9212022_08.qgd	2917	0	40114	31229	104506	2121	6861	4402	0	0	1136	0	254972	15103	98023	7857	692	0	0	1158	7512	0	0	0	0	0	0	0	1133	3298	0	43916	123929	117164	37217	0	804	0	0	417	432	25994
NEXP2Leaf_921aT9_9212022_09.qgd	14224	0	12134	0	6013	0	0	1657	14196	0	428	0	21372	49174	24088	14634	0	176	0	3738	1217	1058	0	0	10511	6751	0	0	0	0	1038	5687	27373	6651	26434	4020	0	0	0	0	0	6238
NEXP2Leaf_921aT10_9212022_10.qgd	2294	0	9240	0	5081	0	0	598	0	0	478	0	19823	91195	45224	1437	0	0	0	0	0	0	0	2463	0	2524	0	0	0	0	0	3803	18426	6362	813	3524	0	0	0	42	0	3315
NEXP2Leaf_921aT11_9212022_11.qgd	56801	0	1385	0	2821	0	0	1624	0	0	1110	0	29767	97012	35505	1196	0	0	0	0	2166	0	0	926	69090	17363	1262	0	0	242	0	0	40795	3633	2723	37248	0	0	0	0	0	7590
NEXP2Leaf_921aT12_9212022_12.qgd	888	0	948	0	1772	0	0	1763	0	0	1756	0	30010	110952	59518	1876	0	253	0	0	2787	0	0	0	19263	6924	0	0	0	0	251	0	46475	1587	2348	3620	0	0	0	0	0	6560
NEXP2Leaf_921aT13_9212022_13.qgd	6897	0	13225	0	11688	0	0	819	0	0	419	0	36048	148714	36222	730	0	0	0	0	2327	0	0	760	6466	2918	0	637	0	434	0	5258	30405	13350	1194	2378	0	0	0	226	0	4759
NEXP2Leaf_921aT14_9212022_14.qgd	0	0	876	0	717	0	0	1136	0	0	371	0	9285	11032	35053	647	0	0	0	0	482	0	0	1160	613	0	0	0	0	0	0	0	18132	1069	2654	0	0	0	0	0	0	3819
NEXP2Leaf_921aT15_9212022_15.qgd	0	85	36204	0	34416	1063	1797	589	0	0	0	4280	90028	13765	13414	0	275	0	0	0	3469	0	0	0	0	0	0	0	411	879	0	14708	25375	41284	2063	0	0	0	0	71	0	6476
NEXP2Leaf_921aT16_9212022_16.qgd	206	0	3080	0	1586	0	0	1760	0	382	463	0	12635	6613	17276	371	0	0	0	500	328	0	0	946	397	0	0	91	0	0	243	0	31640	1619	865	0	0	0	0	148	0	0
NEXP2Leaf_921aT17_9212022_17.qgd	850	0	3036	0	2307	0	0	1187	0	0	530	0	17691	111949	13605	449	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	26184	2418	1164	434	148	0	61	0	0	3195
NEXP2Leaf_921aT18_9212022_18.qgd	16076	0	15091	0	15877	0	0	1128	0	0	432	0	57056	78631	47497	508	109	0	0	0	2339	0	0	0	4130	9191	0	0	0	0	0	7103	39504	18802	1207	4338	0	0	0	0	0	4539
NEXP2Leaf_AMBDH2__220824_9182022_24.qgd	0	0	10224	0	6191	0	691	2394	0	963	1564	0	44892	53244	74185	2072	0	812	0	0	7728	0	0	0	0	0	0	0	0	577	0	4857	63151	7176	1275	0	0	0	0	0	0	8120
NEXP2Leaf_AMBJB__220824_9182022_01.qgd	0	0	3155	0	2792	0	0	2054	0	710	633	0	33915	15367	44596	853	0	0	0	0	935	0	0	0	0	0	0	0	0	36	0	0	37853	2757	2449	0	0	0	0	0	0	5503
NEXP2Leaf_AMBJB2__220824_9182022_02.qgd	0	0	3929	0	6010	0	0	4211	8839	0	530	0	9581	19239	25214	10816	318	444	0	3628	677	0	0	0	9103	1242	846	0	0	0	2724	13119	26636	8784	41353	0	0	0	469	0	317	4938
NEXP2Leaf_AMBJB3__220824_9182022_19.qgd	0	0	2135	0	3323	0	0	3207	0	0	2485	0	34353	65677	118864	3288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55124	3350	1006	968	75	0	0	0	0	8343
NEXP2Leaf_AMBJB4__220824_9182022_20.qgd	0	0	7058	0	9271	0	0	1203	0	0	845	0	60391	247957	79051	1611	0	0	0	444	4136	0	0	0	0	0	0	0	0	0	0	0	53509	9536	1780	1112	0	0	0	0	1078	14353
