date,site,plant,treatment,corolla_length,corolla_width,style_length,max_anther,min_anther,sepal_width,flyegg,notes
2022-07-07,Lagg,550,water control,25.3,3.1,26.1,25.8,24.9,1.5,1,
2022-07-21,Lagg,550,water control,26.1,3.2,24.3,26.6,25.1,1.6,0,
2022-07-21,Lagg,551,ambient,26.9,3.7,29.1,28.9,25.4,1.6,0,
2022-07-21,Lagg,554,ambient,29.7,4.2,26.6,29.9,26.6,1.9,0,
2022-07-07,Lagg,561,ambient,17.5,3.0,18.1,18.2,15.7,1.3,1,
2022-07-21,Lagg,562,water control,25.1,3.6,25.3,25.8,24.8,1.4,0,
2022-07-21,Lagg,563,ambient,23.6,4.0,22.6,25.4,22.3,1.8,0,
2022-07-07,Lagg,566,nitrogen,28.9,4.1,24.8,27.9,24.9,1.5,2,
2022-07-21,Lagg,566,nitrogen,25.6,3.0,24.4,26.1,23.6,1.6,0,
2022-07-07,Lagg,568,nitrogen,30.6,3.7,27.1,30.7,28.9,1.7,1,
2022-07-07,Lagg,568,nitrogen,29.5,3.7,25.8,26.1,24.5,1.3,0,
2022-07-21,Lagg,568,nitrogen,30.5,3.9,27.8,31.2,29.3,1.9,0,
2022-07-07,Lagg,574,water control,29.0,3.3,26.6,29.3,26.7,1.5,0,
2022-07-21,Lagg,574,water control,29.8,3.6,32.0,31.6,28.3,1.3,1,
2022-07-21,Lagg,584,water control,27.0,2.9,26.6,29.8,25.1,1.3,0,
2022-07-07,Lagg,585,nitrogen,30.8,3.5,25.4,31.1,28.7,1.2,0,
2022-07-21,Lagg,585,nitrogen,30.0,3.5,25.3,29.9,28.0,1.7,1,
2022-07-07,Lagg,588,ambient,25.4,3.0,22.0,23.0,20.2,1.2,0,
2022-07-21,Lagg,589,water control,27.9,3.6,24.7,27.1,27.1,1.8,1,
2022-07-07,Lagg,590,ambient,28.8,3.1,20.5,28.4,26.6,1.6,0,
2022-07-21,Lagg,590,ambient,28.6,2.8,23.7,27.2,26.3,1.4,0,
2022-07-07,Lagg,596,water control,29.4,3.5,26.4,28.7,27.9,1.5,1,
2022-07-21,Lagg,596,water control,30.9,3.1,25.8,29.6,28.5,1.5,0,
2022-07-07,Lagg,598,ambient,24.8,3.3,23.3,25.6,24.3,1.6,1,
2022-07-21,Lagg,598,ambient,25.5,3.4,26.3,28.5,27.0,1.6,0,
2022-07-07,Lagg,599,ambient,28.5,4.2,23.9,28.2,26.3,1.4,1,
2022-07-21,Lagg,599,ambient,24.7,3.7,22.2,26.8,23.5,1.7,0,
2022-07-07,Lagg,601,ambient,28.5,3.3,25.1,26.9,25.6,2.0,0,
2022-07-21,Lagg,601,ambient,29.7,3.5,28.0,30.0,28.0,1.4,1,
2022-07-07,Lagg,607,ambient,26.6,3.9,26.6,26.4,25.2,1.3,0,
2022-07-21,Lagg,607,ambient,26.7,3.5,26.1,25.9,24.1,1.9,0,
2022-07-07,Lagg,608,nitrogen,28.3,3.8,23.8,29.7,26.7,1.5,1,
2022-07-21,Lagg,608,nitrogen,25.6,3.5,26.1,27.5,23.9,1.7,0,
2022-07-07,Lagg,613,nitrogen,29.8,3.7,24.2,25.9,24.9,1.6,1,
2022-07-21,Lagg,613,nitrogen,29.1,3.5,24.4,27.9,25.0,1.4,0,
2022-07-21,Lagg,614,ambient,24.1,3.9,17.2,24.3,21.8,1.5,1,
2022-07-07,Lagg,615,nitrogen,29.5,4.3,29.4,28.1,23.8,1.7,1,
2022-07-21,Lagg,615,nitrogen,29.4,3.7,28.2,28.8,27.9,1.8,0,
2022-07-21,Lagg,616,water control,27.9,3.4,24.8,29.3,26.6,1.6,0,
2022-07-07,Lagg,737,ambient,30.2,3.7,27.9,30.3,28.8,1.2,0,
2022-07-27,Ihyb,101,ambient,29.5,2.9,19.7,28.5,28.4,1.5,1,
2022-07-27,Ihyb,314,ambient,31.5,3.1,26.0,31.0,28.6,1.5,0,
2022-07-27,Ihyb,503,ambient,26.4,2.7,22.9,26.1,25.6,1.3,0,
2022-07-27,Ihyb,506,ambient,26.6,2.2,23.6,26.1,25.4,1.3,0,
2022-07-27,Ihyb,509,ambient,27.9,2.6,26.1,28.2,26.0,1.5,0,
2022-07-27,Ihyb,512,ambient,32.3,2.7,24.3,32.1,28.6,1.5,0,
2022-07-27,Ihyb,530,ambient,25.4,1.7,26.1,23.4,22.5,1.5,0,
2022-07-27,Ihyb,531,ambient,26.6,2.2,26.2,24.4,23.6,1.2,0,
2022-07-27,Ihyb,701,nitrogen,35.4,3.5,27.4,32.0,29.6,1.4,0,
2022-07-27,Ihyb,703,water control,32.9,3.2,27.6,29.8,28.8,1.3,0,
2022-07-27,Ihyb,706,nitrogen,32.2,2.8,27.5,30.0,28.6,1.7,0,
2022-07-27,Ihyb,707,water control,32.7,2.8,28.3,30.2,28.6,1.7,0,
2022-07-27,Ihyb,709,water control,33.8,3.2,25.8,30.6,28.5,1.4,0,
2022-07-27,Ihyb,712,water control,30.4,3.0,26.5,29.5,29.0,1.4,0,
2022-07-27,Ihyb,713,water control,31.9,2.9,23.7,31.5,29.5,1.4,0,
2022-07-27,Ihyb,715,nitrogen,34.2,2.6,25.6,32.9,30.9,1.4,0,
2022-07-27,Ihyb,718,nitrogen,31.5,2.6,28.6,29.6,27.7,1.3,0,
2022-07-27,Ihyb,721,water control,30.9,3.2,23.6,31.6,28.5,1.5,0,
2022-07-27,Ihyb,729,nitrogen,25.6,2.7,22.4,24.2,23.9,1.4,0,
2022-07-27,Ihyb,731,nitrogen,25.0,3.3,21.5,22.7,21.9,1.7,0,
2022-07-27,Ihyb,732,water control,23.6,2.7,21.0,22.2,19.5,1.4,0,
2022-07-27,Ihyb,737,water control,32.4,3.0,30.0,30.2,27.9,1.4,0,
2022-07-27,Ihyb,727,nitrogen,34.5,2.9,24.0,33.5,30.3,1.1,0,
2022-07-27,Ihyb,797,nitrogen,25.1,2.4,23.8,22.6,22.2,1.4,0,
2022-07-27,Ihyb,798,ambient,29.3,2.5,26.7,27.5,27.0,1.5,0,
2022-07-27,Ihyb,799,nitrogen,30.8,2.7,26.2,26.1,24.8,1.0,0,
2022-07-27,Ihyb,719,nitrogen,20.6,,19.6,19.3,18.6,0.7,0,
2022-07-27,Ihyb,706,,20.9,,19.4,19.4,15.1,0.6,0,
2022-07-27,Ihyb,797,,25.5,,23.2,22.2,21.6,1.3,0,
2022-07-27,Ihyb,512,,31.4,,25.6,29.0,26.0,0.8,0,
2022-07-27,Ihyb,707,,30.6,,27.4,28.3,26.2,0.9,0,
2022-07-27,Ihyb,709,,,,,,,,,only 1 flower
2022-07-27,Ihyb,737,,27.9,,26.8,26.3,22.2,0.9,0,
2022-07-27,Ihyb,509,,30.0,,23.0,26.8,25.6,0.8,,
2022-07-27,Ihyb,314,,,,,,,,,2 flowers
2022-07-27,Ihyb,713,,29.2,,21.6,29.5,26.3,1.1,0,
2022-07-27,Ihyb,715,,,,,,,,,1 flower
2022-07-27,Ihyb,726,,31.4,,21.2,29.8,26.4,1.0,0,
2022-07-27,Ihyb,712,,25.0,,26.7,23.3,21.5,1.2,0,
2022-07-27,Ihyb,718,,29.4,,26.8,27.1,26.2,1.0,0,
2022-07-27,Ihyb,721,,30.1,,24.4,28.2,25.5,1.3,0,
2022-07-27,Ihyb,525,,,,,,,,,no flowers
2022-07-27,Ihyb,531,,29.9,,29.3,27.2,24.1,1.2,0,
2022-07-27,Ihyb,732,,24.9,,21.8,23.9,22.2,1.1,0,
2022-07-27,Ihyb,530,,24.4,,23.3,23.0,21.8,1.2,0,
2022-07-27,Ihyb,799,,28.5,,24.9,24.4,22.8,0.9,0,
2022-07-27,Ihyb,506,,29.8,,27.1,25.1,24.6,1.1,0,
