Filename,site,Sample,d_n,date,run_date,gc_n,file,batch,n
Lagg_322_N_220721_7262022_06.qgd,Lagg,322,N,220721,7262022,6,qgd,PG_Lagg_220726a_2.txt,327
Lagg_320_N_220721_7262022_07.qgd,Lagg,320A,N,220721,7262022,7,qgd,PG_Lagg_220726a_2.txt,322
Lagg_AIRJK_N_220721_7262022_08.qgd,Lagg,AIRJK,N,220721,7262022,8,qgd,PG_Lagg_220726a_2.txt,328
Lagg_539_N_220721_7262022_09.qgd,Lagg,539,N,220721,7262022,9,qgd,PG_Lagg_220726a_2.txt,315
Lagg_540_N_220721_7262022_10.qgd,Lagg,540,N,220721,7262022,10,qgd,PG_Lagg_220726a_2.txt,327
Lagg_563_D_220721_7262022_11.qgd,Lagg,563,D,220721,7262022,11,qgd,PG_Lagg_220726a_2.txt,319
Lagg_548_D_220721_7262022_12.qgd,Lagg,548,D,220721,7262022,12,qgd,PG_Lagg_220726a_2.txt,306
Lagg_AIRJP_D_220721_7262022_13.qgd,Lagg,AIRJP,D,220721,7262022,13,qgd,PG_Lagg_220726a_2.txt,324
Lagg_297_D_220721_7262022_14.qgd,Lagg,297,D,220721,7262022,14,qgd,PG_Lagg_220726a_2.txt,329
Lagg_2100_D_220721_7262022_15.qgd,Lagg,2100,D,220721,7262022,15,qgd,PG_Lagg_220726a_2.txt,325
Lagg_325_D_220721_7262022_16.qgd,Lagg,325,D,220721,7262022,16,qgd,PG_Lagg_220726a_2.txt,339
Lagg_AIRDH_D_220721_7262022_17.qgd,Lagg,AIRDH,D,220721,7262022,17,qgd,PG_Lagg_220726a_2.txt,318
Lagg_317_D_220721_7262022_18.qgd,Lagg,317,D,220721,7262022,18,qgd,PG_Lagg_220726a_2.txt,327
Lagg_584_D_220721_7262022_19.qgd,Lagg,584,D,220721,7262022,19,qgd,PG_Lagg_220726a_2.txt,326
Lagg_320_D_220721_7262022_20.qgd,Lagg,320,D,220721,7262022,20,qgd,PG_Lagg_220726a_2.txt,316
Lagg_607_N_220721_7262022_21.qgd,Lagg,607,N,220721,7262022,21,qgd,PG_Lagg_220726a_2.txt,325
Lagg_323_N_220721_7262022_22.qgd,Lagg,323,N,220721,7262022,22,qgd,PG_Lagg_220726a_2.txt,321
Lagg_76_N_220721_7262022_23.qgd,Lagg,76,N,220721,7262022,23,qgd,PG_Lagg_220726a_2.txt,337
Lagg_AIRDH_N_220721_7262022_24.qgd,Lagg,AIRDH,N,220721,7262022,24,qgd,PG_Lagg_220726a_2.txt,242
Lagg_598_N_220721_7262022_25.qgd,Lagg,598,N,220721,7262022,25,qgd,PG_Lagg_220726a_2.txt,314
Lagg_320_N_220721_7262022_26.qgd,Lagg,320B,N,220721,7262022,26,qgd,PG_Lagg_220726a_2.txt,328
Lagg_613_N_220721_7272022_01.qgd,Lagg,613,N,220721,7272022,1,qgd,PG_Lagg_220726a_3.txt,322
Lagg_614_N_220721_7272022_02.qgd,Lagg,614,N,220721,7272022,2,qgd,PG_Lagg_220726a_3.txt,333
Lagg_344_N_220721_7272022_03.qgd,Lagg,344,N,220721,7272022,3,qgd,PG_Lagg_220726a_3.txt,326
Lagg_615_N_220721_7272022_04.qgd,Lagg,615,N,220721,7272022,4,qgd,PG_Lagg_220726a_3.txt,323
Lagg_601_N_220721_7272022_05.qgd,Lagg,601,N,220721,7272022,5,qgd,PG_Lagg_220726a_3.txt,323
Lagg_599_N_220721_7272022_06.qgd,Lagg,599,N,220721,7272022,6,qgd,PG_Lagg_220726a_3.txt,319
Lagg_608_N_220721_7272022_07.qgd,Lagg,608,N,220721,7272022,7,qgd,PG_Lagg_220726a_3.txt,329
Lagg_near85_N_220721_7272022_08.qgd,Lagg,near85,N,220721,7272022,8,qgd,PG_Lagg_220726a_3.txt,334
Lagg_616_N_220721_7272022_09.qgd,Lagg,616,N,220721,7272022,9,qgd,PG_Lagg_220726a_3.txt,343
Lagg_AIRAA_N_220721_7272022_10.qgd,Lagg,AIRAA,N,220721,7272022,10,qgd,PG_Lagg_220726a_3.txt,320
Lagg_566_D_220721_7272022_11.qgd,Lagg,566,D,220721,7272022,11,qgd,PG_Lagg_220726a_3.txt,322
Lagg_322_D_220721_7272022_12.qgd,Lagg,322,D,220721,7272022,12,qgd,PG_Lagg_220726a_3.txt,329
Lagg_568_D_220721_7272022_13.qgd,Lagg,568,D,220721,7272022,13,qgd,PG_Lagg_220726a_3.txt,323
Lagg_541_D_220721_7272022_14.qgd,Lagg,541,D,220721,7272022,14,qgd,PG_Lagg_220726a_3.txt,319
Lagg_283_N_220721_7272022_15.qgd,Lagg,283,N,220721,7272022,15,qgd,PG_Lagg_220726a_3.txt,320
Lagg_590_N_220721_7272022_16.qgd,Lagg,590,N,220721,7272022,16,qgd,PG_Lagg_220726a_3.txt,323
Lagg_341_N_220721_7272022_17.qgd,Lagg,341,N,220721,7272022,17,qgd,PG_Lagg_220726a_3.txt,329
Lagg_566_N_220721_7272022_18.qgd,Lagg,566,N,220721,7272022,18,qgd,PG_Lagg_220726a_3.txt,318
Lagg_554_N_220721_7272022_19.qgd,Lagg,554,N,220721,7272022,19,qgd,PG_Lagg_220726a_3.txt,319
Lagg_543_N_220721_7272022_20.qgd,Lagg,543,N,220721,7272022,20,qgd,PG_Lagg_220726a_3.txt,317
Lagg_AIRAA_D_220721_7272022_21.qgd,Lagg,AIRAA,D,220721,7272022,21,qgd,PG_Lagg_220726a_3.txt,319
Lagg_550_D_220721_7272022_22.qgd,Lagg,550,D,220721,7272022,22,qgd,PG_Lagg_220726a_3.txt,326
Lagg_546_D_220721_7272022_23.qgd,Lagg,546,D,220721,7272022,23,qgd,PG_Lagg_220726a_3.txt,320
Lagg_AIRDH_N_220721_REDO_7272022_24.qgd,Lagg,AIRDH,N,220721,7272022,24,qgd,PG_Lagg_220726a_3.txt,340
Lagg_543_D_220721_7272022_25.qgd,Lagg,543,D,220721,7272022,25,qgd,PG_Lagg_220726a_3.txt,323
Lagg_596_D_220721_7272022_26.qgd,Lagg,596,D,220721,7272022,26,qgd,PG_Lagg_220726a_3.txt,330
Lagg_76_D_220721_7282022_01.qgd,Lagg,76,D,220721,7282022,1,qgd,PG_Lagg_220727.txt,320
Lagg_589_D_220721_7282022_02.qgd,Lagg,589,D,220721,7282022,2,qgd,PG_Lagg_220727.txt,329
Lagg_323_D_220721_7282022_03.qgd,Lagg,323,D,220721,7282022,3,qgd,PG_Lagg_220727.txt,323
Lagg_598_D_220721_7282022_04.qgd,Lagg,598B,D,220721,7282022,4,qgd,PG_Lagg_220727.txt,320
Lagg_near85_D_220721_7282022_05.qgd,Lagg,near85,D,220721,7282022,5,qgd,PG_Lagg_220727.txt,330
Lagg_614_D_220721_7282022_06.qgd,Lagg,614,D,220721,7282022,6,qgd,PG_Lagg_220727.txt,322
Lagg_613_D_220721_7282022_07.qgd,Lagg,613,D,220721,7282022,7,qgd,PG_Lagg_220727.txt,310
Lagg_344_D_220721_7282022_08.qgd,Lagg,344,D,220721,7282022,8,qgd,PG_Lagg_220727.txt,334
Lagg_608_D_220721_7282022_09.qgd,Lagg,608,D,220721,7282022,9,qgd,PG_Lagg_220727.txt,328
Lagg_616_D_220721_7282022_10.qgd,Lagg,616,D,220721,7282022,10,qgd,PG_Lagg_220727.txt,328
Lagg_588_D_220721_7282022_11.qgd,Lagg,588,D,220721,7282022,11,qgd,PG_Lagg_220727.txt,320
Lagg_590_D_220721_7282022_12.qgd,Lagg,590,D,220721,7282022,12,qgd,PG_Lagg_220727.txt,309
